Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;Valor;Valor_USD
Apartamento;Apartamento en venta en Usaquén;2;2;60;Usaquén;422000000.0;109298.11
Apartamento;Apartamento en venta en Zona Noroccidental;3;4;112;Zona Noroccidental;690000000.0;178710.18
Apartamento;Apartamento en venta en Usaquén;1;2;42;Usaquén;357000000.0;92463.09
Apartamento;Apartamento en venta en Tintala;3;2;59;Tintala;164000000.0;42476.04
Apartamento;Apartamento en venta en Usaquén;4;4;261;Usaquén;1700000000.0;440300.44
Apartamento;Apartamento en venta en Usaquén;2;3;109;Usaquén;570000000.0;147630.15
Casa;Casa en venta en La Uribe;3;3;110;La Uribe;460000000.0;119140.12
Apartamento;Apartamento en venta en Usaquén;3;3;157;Usaquén;960000000.0;248640.25
Apartamento;Apartamento en venta en Santa Barbara;2;2;81;Santa Barbara;510000000.0;132090.13
Apartamento;Apartamento en venta en Usaquén;1;2;69;Usaquén;520000000.0;134680.13
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;36;Zona Noroccidental;142000000.0;36778.04
Apartamento;Apartamento en venta en Santa Fe;3;2;172;Santa Fe;750000000.0;194250.19
Apartamento;Apartamento en venta en Rafael Uribe Uribe;2;1;50;Rafael Uribe Uribe;160000000.0;41440.04
Casa;Casa en venta en La Uribe;3;3;110;La Uribe;445000000.0;115255.12
Apartamento;Apartamento en venta en Usaquén;2;2;74;Usaquén;570000000.0;147630.15
Apartamento;Apartamento de 70 m2;3;2;70;Engativa;319981523.0;82875.3
Apartamento;Apartamento en venta en El Contador;1;2;58;El Contador;380000000.0;98420.1
Apartamento;Apartamento en venta en Bosa;3;1;47;Bosa;134000000.0;34706.03
Apartamento;Apartamento en venta en Kennedy;1;1;29;Kennedy;120000000.0;31080.03
Apartamento;Apartamento en venta en Usaquén;3;2;93;Usaquén;460000000.0;119140.12
Casa;Casa en venta en La Uribe;3;3;131;La Uribe;560000000.0;145040.15
Apartamento;Apartamento en venta en Cedritos;2;2;59;Cedritos;351000000.0;90909.09
Apartamento;Apartamento en venta en Kennedy;2;3;198;Kennedy;1390000000.0;360010.36
Apartamento;Apartamento en venta en Fontibón;3;2;78;Fontibón;260000000.0;67340.07
Apartamento;Apartamento en venta en Chico Norte;2;2;95;Chico Norte;980000000.0;253820.25
Apartamento;Apartamento en venta en Kennedy;2;1;42;Kennedy;116100000.0;30069.93
Apartamento;Apartamento en venta en Kennedy;3;2;54;Kennedy;237000000.0;61383.06
Apartamento;Apartamento en venta en Kennedy;3;2;67;Kennedy;320000000.0;82880.08
Apartamento;Apartamento en venta en Cedritos;4;4;132;Cedritos;530000000.0;137270.14
Apartamento;Apartamento en venta en Bosa;2;1;42;Bosa;117000000.0;30303.03
Apartamento;Apartamento en venta en Chico Reservado;3;3;166;Chico Reservado;1300000000.0;336700.34
Apartamento;Apartamento en venta en Chico Reservado;1;2;49;Chico Reservado;477000000.0;123543.12
Apartamento;Apartamento en venta en Cedritos;4;4;100;Cedritos;450000000.0;116550.12
Apartamento;Apartamento en venta en Cedritos;2;2;81;Cedritos;515000000.0;133385.13
Apartamento;Apartamento en venta en Cedritos;3;3;146;Cedritos;730000000.0;189070.19
Apartamento;Apartamento en venta en Cedritos;2;3;93;Cedritos;600000000.0;155400.16
